   Operation      Sample     Latency
26-i64-d0     0            2 10367219.00
26-i64-d0     0            3 10388999.40
26-i8-d0      0            1 25970298.20
26-i8-d0      0            2 26006187.60
26-i8-d0      0            3 25954459.40
3-i1-d0       0            1  2598606.40
3-i1-d0       0            2  2610753.20
3-i1-d0       0            3  2592517.20
3-i128-d0     0            1  2854393.40
3-i128-d0     0            2  3038686.40
3-i128-d0     0            3  2985011.20
3-i16-d0      0            1  3902369.80
3-i16-d0      0            2  3932870.00
3-i16-d0      0            3  3887445.20
3-i2-d0       0            1  2584617.20
3-i2-d0       0            2  2603461.20
3-i2-d0       0            3  2603652.80
3-i32-d0      0            1  3343235.40
3-i32-d0      0            2  3354909.20
3-i32-d0      0            3  3318805.80
3-i4-d0       0            1  3405393.80
3-i4-d0       0            2  3375833.40
3-i4-d0       0            3  3371122.60
3-i64-d0      0            1  2974356.20
3-i64-d0      0            2  2965158.40
3-i64-d0      0            3  2974490.20
3-i8-d0       0            1  3941123.80
3-i8-d0       0            2  3899567.60
3-i8-d0       0            3  3941846.20
32-i1-d0      0            1 12888241.00
32-i1-d0      0            2 12896900.60
32-i1-d0      0            3 12896402.00
32-i128-d0    0            1 11718908.00
32-i128-d0    0            2 11715374.40
32-i128-d0    0            3 11722587.60
32-i16-d0     0            1 23082693.60
32-i16-d0     0            2 23080068.80
32-i16-d0     0            3 23042521.60
32-i2-d0      0            1 23391404.80
32-i2-d0      0            2 23204241.40
32-i2-d0      0            3 23302047.60
32-i32-d0     0            1 14015426.20
32-i32-d0     0            2 14019098.00
32-i32-d0     0            3 13958844.20
32-i4-d0      0            1 33448883.60
32-i4-d0      0            2 33234850.40
32-i4-d0      0            3 33343511.40
32-i64-d0     0            1 15216739.20
32-i64-d0     0            2 15197126.20
32-i64-d0     0            3 15191755.60
32-i8-d0      0            1 31274001.40
32-i8-d0      0            2 31238142.00
32-i8-d0      0            3 31200564.80
39-i1-d0      0            1 16065533.40
39-i1-d0      0            2 16033526.80
39-i1-d0      0            3 16088937.20
39-i128-d0    0            1 16983682.20
39-i128-d0    0            2 17018324.60
39-i128-d0    0            3 16980711.60
39-i16-d0     0            1 26598198.20
39-i16-d0     0            2 26612643.40
39-i16-d0     0            3 26634410.60
39-i2-d0      0            1 28696243.60
39-i2-d0      0            2 28671715.60
39-i2-d0      0            3 28766212.20
39-i32-d0     0            1 14401479.80
